Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2012-07-06,6069.35,6071.65,5993.6,6027.25,17399900,528.45
2012-07-09,5987.65,6073.7,5973,6018.2,14623805,576.56
2012-07-10,6037.15,6067.15,6027.55,6056.5,38111176,697.86
2012-07-11,6034.55,6110.55,6021.7,6049.35,34536992,1278.54
2012-07-12,5720.3,5765.05,5678.1,5737.65,45953675,2577.74
2012-07-13,5736.3,5778.1,5698.75,5713.9,28377166,1595.03
2012-07-16,5713.4,5740.05,5562.6,5576.75,19791516,1040.92
2012-07-17,5609.7,5615.4,5531.25,5555.35,20001619,1057.51
2012-07-18,5569.8,5599.7,5550.45,5582.25,17865818,804.87
2012-07-19,5624.05,5693.6,5624.05,5682.25,11051297,616.85
2012-07-20,5681.8,5691.8,5642.4,5674.2,11646588,547.73
2012-07-23,5624.75,5651.7,5601.5,5609.2,10395343,451.13
2012-07-24,5598.6,5627.05,5560.55,5571.3,19847481,615.04
2012-07-25,5586.8,5601.75,5543.45,5588.65,26695164,1011.15
2012-07-26,5587.35,5587.35,5460.7,5489.6,56199797,1319.2
2012-07-27,5562.4,5577.8,5497.95,5562,23821519,768.44
2012-07-30,5589.15,5660.05,5569.15,5646.3,15592793,634.51
2012-07-31,5664.7,5705.85,5620.9,5695.25,16413456,601.64
2012-08-01,5673.8,5698.1,5647.7,5670.7,13606716,409.47
2012-08-02,5673.95,5690,5654.35,5670.4,11083354,347.76
2012-08-03,5645.9,5705.3,5633.35,5697.15,22932530,625.07
2012-08-06,5729.7,5742.2,5684.05,5699.1,16565644,487.78
2012-08-07,5733.95,5818.7,5733.95,5799.8,17331057,744.12
2012-08-08,5813.4,5854.5,5808.15,5828.3,13525309,621.7
2012-08-09,5838.1,5886.05,5813.5,5827.6,13796774,517.33
2012-08-10,5815.3,5921.9,5815.3,5905.15,13093239,639.96
2012-08-13,5885.65,5919.3,5877.55,5912.35,15098409,492.72
2012-08-14,5890.35,5943.1,5876.25,5936.35,14186354,519.25
2012-08-16,5935.1,5935.1,5887.8,5915.9,11805822,483.8
2012-08-17,5928.2,5995.1,5921.05,5980.65,15212119,622.83
2012-08-21,5994.1,6131.8,5994.1,6085.3,15248458,771.42
2012-08-22,6070.2,6115.65,6064.95,6099.1,13363034,491.27
2012-08-23,6101.65,6213.55,6100.1,6207.6,15174157,886.01
2012-08-24,6167.15,6181.25,6145.1,6170.7,11420687,515.01
2012-08-27,6144.85,6175.8,6105.2,6112.95,10228764,463.42
2012-08-28,6103.15,6183.05,6103.15,6159.9,26518916,586.7
2012-08-29,6161.2,6161.8,6090.2,6099.15,18703852,533.88
2012-08-30,6086.8,6181.15,6058,6144.55,29872748,1704.4
2012-08-31,6120.9,6120.9,6061.8,6072.35,13558202,642.82
2012-09-03,6084.2,6142.2,6068.8,6083.2,8724799,473.5
2012-09-04,6066.5,6099.55,6037.35,6084.05,9699113,460.37
2012-09-05,6062.5,6110.1,6031.95,6083.75,10822120,560.33
2012-09-06,6094.55,6243.55,6092.45,6233.35,22135071,794.31
2012-09-07,6299.55,6351.4,6299.55,6342.7,19068896,807.95
2012-09-08,6325,6365.3,6325,6359.35,2525895,57.07
2012-09-10,6355.9,6388.7,6318.5,6361.9,12949481,695.69
2012-09-11,6340.05,6431.9,6311.2,6424.65,18349557,649.52
2012-09-12,6434.55,6501.7,6422.55,6485.95,19062430,788.59
2012-09-13,6483.8,6527.6,6460.65,6514.35,15397862,715.69
2012-09-14,6579.6,6643.8,6541.35,6599.4,14627038,967.73
2012-09-17,6630.4,6630.4,6382.95,6398.2,17105590,1015.85
2012-09-18,6420.3,6444.95,6361.15,6370.6,25363406,1090.31
2012-09-20,6310,6469.05,6310,6422.5,27404777,1088.95
2012-09-21,6428.6,6494.25,6365.5,6379.55,23325291,1070.78
2012-09-24,6394.2,6395.8,6320.25,6364,25817178,1045.99
2012-09-25,6354.6,6396.9,6344.7,6367.95,18909073,912.78
2012-09-26,6343.2,6369.4,6316.75,6348.8,19939753,766.11
2012-09-27,6343.25,6356.25,6262.15,6285.2,38120190,1543.74
2012-09-28,6313.95,6364.8,6304.25,6313.8,13512732,873.17
2012-10-01,6327.4,6449.25,6327.4,6435.4,15625993,1048.36
2012-10-03,6431.75,6477,6395.65,6422.55,15186292,1005.24
2012-10-04,6418.1,6428.95,6374.75,6399.5,14127701,808.65
2012-10-05,6403.4,6411.95,5660.85,6292.45,17960010,1026.02
2012-10-08,6298.9,6324,6192.3,6207.95,9619922,625.31
2012-10-09,6237.6,6290.65,6205.8,6274.8,9774597,608.58
2012-10-10,6226.4,6263.65,6216.3,6225.8,12658115,626.33
2012-10-11,6221,6336.5,6199.25,6268.7,12383470,894.31
2012-10-12,6027.55,6175,5981.2,6106.15,18649718,2174.02
2012-10-15,6089.35,6132.05,6049.6,6060.45,7456103,659.99
2012-10-16,6083,6115.75,6035.35,6050.85,8812724,529.7
2012-10-17,6093.15,6102.2,6019.05,6045.15,14358633,751.55
2012-10-18,6043.1,6098.75,6020.4,6088.85,11154855,749.22
2012-10-19,6077,6104.05,6049.8,6067,10509150,789.84
2012-10-22,6096.65,6137,6087.5,6112.8,11343502,698.31
2012-10-23,6090.25,6100.7,6053.2,6063.15,10791569,391.77
2012-10-25,6055,6073.5,6033.3,6051.7,16465163,875.33
2012-10-26,6024.9,6059.1,6011.7,6025.4,9051006,408.46
2012-10-29,6012.65,6038.85,6003.85,6032.45,7302385,386.97
2012-10-30,6016.5,6082.9,6016.5,6066.1,8077308,448.15
2012-10-31,6053.5,6095.9,6053.5,6087.85,8367956,474.28
2012-11-01,6085.1,6109.5,6076.05,6101.85,16236730,732.35
2012-11-02,6134.85,6197.75,6131.75,6163.45,12630269,685.13
2012-11-05,6163.95,6176.35,6127.7,6144.2,5603182,436.68
2012-11-06,6144.5,6187.9,6128.1,6139.5,7741593,503.61
2012-11-07,6144.65,6210.4,6136.95,6192.75,10844291,437.69
2012-11-08,6138,6166.8,6120.8,6163.05,7336943,431.92
2012-11-09,6147.6,6148.1,6099.85,6110.45,5100805,351.13
2012-11-12,6111,6160.85,6111,6138.65,6334085,381.74
2012-11-13,6135.2,6142.3,6094.75,6106.1,1497945,83.65
2012-11-15,6093.4,6093.4,5989.3,6000.5,8862058,653.22
2012-11-16,6002.5,6117,5993.4,6030.5,7957863,699.89
2012-11-19,6035.25,6087.8,5992.65,6013.85,7611481,418.45
2012-11-20,6055.55,6055.55,5959.2,5990.85,6109878,416.27
2012-11-21,6004.05,6050.8,6001.4,6043.6,6142403,474.18
2012-11-22,6041.9,6101.35,6027.15,6087.95,6375569,395.42
2012-11-23,6097.5,6124.95,6055.95,6099.1,7971853,401.62
2012-11-26,6117.7,6180.35,6117.7,6174.45,8256350,392.27
2012-11-27,6189.25,6265.3,6186.35,6252.3,12197753,615.15
2012-11-29,6243.65,6248,6205.55,6226.6,14524165,955.48
2012-11-30,6217.75,6282.35,6209.8,6263.25,21537534,1390.3
2012-12-03,6263.45,6299.7,6243.45,6269.85,8175294,498.45
2012-12-04,6256.6,6257.35,6215.6,6233.85,8340259,464.78
2012-12-05,6226.35,6226.35,6140.5,6149.45,10382072,762.79
2012-12-06,6162.3,6162.3,6013.3,6063.7,12094499,716.65
2012-12-07,6041.35,6068.2,5994.6,6006.25,22121694,769.61
2012-12-10,6013.8,6046.45,5951.5,5969.45,13290953,622.05
2012-12-11,5970.6,6009.3,5887.45,5917.6,15517739,921.49
2012-12-12,5946.05,5996.3,5918.55,5935.95,18562000,1253.56
2012-12-13,5953.55,5970.05,5897.45,5909.5,12428171,734.49
2012-12-14,5888.9,5953.15,5888.9,5947.75,12254279,686.85
2012-12-17,5928.15,5970.65,5864.05,5877.2,13001374,906.71
2012-12-18,5882.85,5907.85,5845.55,5902.2,14323551,809.19
2012-12-19,5915.65,5980.95,5915.65,5976.25,15693791,993.63
2012-12-20,5985,6012.3,5951.25,5994.95,10195602,673.46
2012-12-21,5986.2,6025.15,5953.8,5981.3,9517504,574.08
2012-12-24,6016.85,6046.15,6013.9,6037.25,6257439,342.47
2012-12-26,6037.1,6048.25,6007.4,6023.6,6552066,347.73
2012-12-27,6047.05,6047.05,5952.75,5967.65,12139131,689.1
2012-12-28,5990.5,6052.25,5990.5,6044.25,7874491,488.6
2013-01-01,6055.5,6059.95,6025.05,6033.3,5718648,238.74
2013-01-02,6049.9,6063.85,6018.3,6031,7275859,417.96
2013-01-03,6045.35,6111.35,6034.95,6097.6,14288651,751.66
2013-01-04,6118.5,6159.8,6108,6153.2,14690386,899.92
2013-01-07,6159.35,6190.55,6141.2,6175.45,9989383,569.4
2013-01-08,6160.75,6173.75,6115.15,6147.9,11889201,818.29
2013-01-09,6143.95,6177.3,6091.2,6101.05,10751985,625.27
2013-01-10,6109.15,6131.15,6057.45,6073.1,12195957,941.05
2013-01-11,6370.4,6654.65,6370.4,6639.85,35533400,4176.11
2013-01-14,6719.75,6846.15,6716.85,6809.5,23165837,2656.57
2013-01-15,6884.35,6898.7,6780.4,6791.5,21541818,1610.17
2013-01-16,6785.2,6792.3,6738.65,6777.95,18184400,1132.98
2013-01-17,6833.05,6896.05,6822.7,6869.45,23121070,1552.27
2013-01-18,6885.9,6890.1,6786.95,6798.7,21873228,1059.36
2013-01-21,6772.05,6823.4,6756.4,6789.4,11468105,648.99
2013-01-22,6782.45,6788.7,6731,6739.65,10133255,565.45
2013-01-23,6734,6767.85,6707.3,6725.8,14151387,804.65
2013-01-24,6742,6799.2,6732.7,6742.4,14250450,957.13
2013-01-25,6752.65,6817.85,6736.85,6800.75,18276874,735.32
2013-01-28,6796.3,6848.5,6785.4,6822.7,13114037,824.37
2013-01-29,6808.05,6849.45,6783.15,6792.3,8822745,599.19
2013-01-30,6794.95,6806.35,6776.9,6787.85,9248936,670.48
2013-01-31,6789.8,6807.75,6733,6778,12888087,1238.6
2013-02-01,6779,6802.9,6732.05,6752.65,7502737,583.92
2013-02-04,6766.65,6794.5,6728.8,6750.25,6639717,583.25
2013-02-05,6724.4,6771,6720.05,6728.7,7168106,561.12
2013-02-06,6760.6,6775.9,6738.25,6766.8,11278744,917.8
2013-02-07,6762.3,6813.15,6762.3,6799,12531757,810.52
2013-02-08,6793.75,6909.55,6793.75,6852.7,13270003,997.95
2013-02-11,6872.9,6890.75,6826.3,6832.05,21861159,964.72
2013-02-12,6799.9,6809.25,6766.75,6791.9,9377666,544.05
2013-02-13,6796.45,6897.75,6779.65,6884.15,11990584,878.95
2013-02-14,6878.25,6939.75,6878.25,6900.35,14181569,915.1
2013-02-15,6866.7,6876.35,6826.5,6864.15,9172831,600.7
2013-02-18,6853.35,6858.85,6808,6834.7,7593063,380.05
2013-02-19,6832,6944,6813.55,6936.25,10285354,467.15
2013-02-20,6937.4,6977.7,6937.4,6972.05,12936489,911.49
2013-02-21,6929.5,6985.3,6924.8,6939.85,15307119,896
2013-02-22,6924.45,7018.55,6924.45,6992.85,12939296,725.4
2013-02-25,7026.2,7126.95,7026.2,7095.2,29061664,990.94
2013-02-26,7082.85,7172.05,7082.85,7156.75,24279074,1044.54
2013-02-27,7144.85,7155.9,7064.3,7072.5,40304753,915.72
2013-02-28,7084.8,7160.75,7069.65,7106.65,30903940,1373.14
2013-03-01,7116.3,7171.95,7090.95,7117.7,33814388,1000.69
2013-03-04,7112.5,7163.7,7062.6,7101.65,19131689,920.27
2013-03-05,7131.8,7205.8,7117.6,7200.2,19634280,952.67
2013-03-06,7227.7,7314.9,7226.75,7305.9,14098919,957.09
2013-03-07,7319.9,7420.45,7319.9,7410.25,21534871,1346.95
2013-03-08,7391.55,7402.55,7344.15,7357,17915494,1117.65
2013-03-11,7355.75,7380.1,7290.25,7304.6,17219221,842.29
2013-03-12,7286.65,7295.55,7232.25,7253.2,10365738,630.91
2013-03-13,7211.25,7211.25,7159.35,7170.4,12363049,827.25
2013-03-14,7180.95,7242,7131.95,7212.4,11238796,800.87
2013-03-15,7221.85,7277.2,7212.3,7224.35,13009097,891.48
2013-03-18,7190.85,7227.45,7166.85,7198.65,8038844,617
2013-03-19,7213.25,7229.2,7140,7152.55,12293899,1037.16
2013-03-20,7153.85,7179.75,7115.65,7158.25,13596944,1018.35
2013-03-21,7186.35,7220.05,7157.1,7168.05,9316043,728.33
2013-03-22,7140.45,7149.7,7085.15,7119.8,10941306,735.82
2013-03-25,7113.05,7131.9,7072.75,7105.95,11821166,613.47
2013-03-26,7094.55,7163,7072.1,7137.05,8782316,501.75
2013-03-28,7153.6,7232.1,7147.25,7219.05,18035160,1493.96
2013-04-01,7230.65,7298.95,7230.65,7264.35,12248514,488.47
2013-04-02,7249.35,7337.45,7232.1,7325.25,10047476,663.38
2013-04-03,7305.6,7354.3,7248.4,7271.9,9890987,625.99
2013-04-04,7232.65,7232.65,7060.65,7072.7,10637548,648.17
2013-04-05,7066.85,7098.65,7018.45,7047.35,7293853,483.28
2013-04-08,7027.9,7057,6968.35,6977.1,6946763,358.25
2013-04-09,6984.85,7023.9,6892.25,6905.7,10086661,722.3
2013-04-10,6977.8,7058.25,6939.65,7042.95,8970070,574.06
2013-04-11,7125.8,7221.7,7066.3,7200.35,12204075,1001.72
2013-04-12,6726.4,6726.4,6321.65,6354.9,23047055,3578.28
2013-04-15,6348.65,6370.8,6177.45,6342.7,16867274,2563.13
2013-04-16,6305.05,6327.4,6266.15,6301.1,7706190,845.49
2013-04-17,6352.3,6370.95,6190.1,6235.85,15051078,1445.54
2013-04-18,6282.5,6294.1,6199.25,6232.6,11291010,1253.45
2013-04-22,6217.15,6233.3,6106.9,6118.25,12868360,969.54
2013-04-23,6127.2,6181.1,6127.2,6156.9,10076518,726.37
2013-04-25,6141,6141,6053.75,6059.8,15673566,1256.82
2013-04-26,6036.75,6046.25,5964.45,5972.7,11304127,969.95
2013-04-29,5959.45,6052.25,5936.4,6015.45,13808355,792.94
2013-04-30,6017.75,6055.5,6001.7,6047.7,10965185,763.55
2013-05-02,6035.4,6211.6,6035.4,6205.9,12590875,1007.52
2013-05-03,6211.8,6267.45,6208.3,6224.7,9015052,797.64
2013-05-06,6238.85,6351.15,6238.85,6343.25,9529270,729.96
2013-05-07,6356.35,6379.9,6313.85,6372.75,8440039,636.8
